"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","1994","1994",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","1995","1995",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","1996","1996",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","1997","1997",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","1998","1998",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","1999","1999",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2000","2000",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2001","2001",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2002","2002",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2003","2003",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2004","2004",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2005","2005",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2006","2006",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2007","2007",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2008","2008",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2009","2009",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2010","2010",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2011","2011",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2012","2012",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2013","2013",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2014","2014",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2015","2015",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2016","2016",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2017","2017",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2018","2018",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2019","2019",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2020","2020",,"a","Category not applicable"
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","1973","1973",1.26861,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","1996","1996",0.95623,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","1998","1998",1.32072,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","1999","1999",1.42278,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2000","2000",1.35125,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2001","2001",1.18355,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2002","2002",1.04542,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2003","2003",1.05624,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2004","2004",1.10094,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2005","2005",1.0105,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2006","2006",1.07288,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2007","2007",1.07507,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2008","2008",1.16079,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2009","2009",1.26786,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2010","2010",1.14292,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2011","2011",1.03425,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2012","2012",1.07009,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2013","2013",1.30871,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2014","2014",1.42186,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2015","2015",1.4484,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2016","2016",1.32854,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2017","2017",1.31644,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2018","2018",1.26159,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2019","2019",1.25617,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","EGY","Egypt","1971","1971",1.01099,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","EGY","Egypt","1972","1972",1.05436,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","EGY","Egypt","1974","1974",1.57713,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","EGY","Egypt","1975","1975",1.50271,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","EGY","Egypt","1976","1976",1.59614,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","EGY","Egypt","1977","1977",1.36262,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","EGY","Egypt","1978","1978",1.78592,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","EGY","Egypt","1980","1980",1.63198,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","EGY","Egypt","1982","1982",2.17721,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","EGY","Egypt","1983","1983",1.98668,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","EGY","Egypt","1988","1988",1.45276,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","EGY","Egypt","1989","1989",1.50219,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","EGY","Egypt","1992","1992",1.66844,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","EGY","Egypt","1993","1993",1.66427,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","EGY","Egypt","1994","1994",1.75064,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","EGY","Egypt","1995","1995",1.81257,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","EGY","Egypt","1996","1996",1.85098,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2004","2004",1.08437,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2007","2007",1.25292,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2009","2009",1.40862,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2010","2010",1.24935,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2011","2011",1.5088,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2012","2012",0.9556,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2013","2013",1.11528,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2014","2014",1.14825,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2015","2015",1.10442,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2016","2016",1.48939,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2017","2017",1.31719,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BTN","Bhutan","2008","2008",0.07355,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BTN","Bhutan","2009","2009",0.0448,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BTN","Bhutan","2010","2010",0.04453,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BTN","Bhutan","2011","2011",0.03381,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BTN","Bhutan","2013","2013",0.3088,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BTN","Bhutan","2014","2014",0.1223,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BTN","Bhutan","2015","2015",,"n","Magnitude nil or negligible"
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1971","1971",6.15197,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1972","1972",5.54999,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1973","1973",5.2697,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1974","1974",4.4931,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1975","1975",4.42221,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1976","1976",3.83189,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1977","1977",3.89761,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1978","1978",3.34883,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1979","1979",3.15364,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1981","1981",2.86533,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1982","1982",2.85408,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1983","1983",3.31469,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1984","1984",3.07872,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1985","1985",3.24834,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1986","1986",3.10572,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1987","1987",3.16532,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1988","1988",3.33824,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1989","1989",3.58874,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1990","1990",3.83142,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1991","1991",3.9203,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1992","1992",4.3141,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","1998","1998",4.27743,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","2002","2002",4.14626,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","2004","2004",4.47434,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","2007","2007",5.98135,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","2008","2008",5.57061,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","2009","2009",5.17037,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","2010","2010",6.45489,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","2011","2011",7.79612,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","2012","2012",6.52243,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","2013","2013",7.87614,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","2014","2014",7.20495,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","2015","2015",5.21635,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","2016","2016",5.20754,,
"XGDP_FSGOV","Government expenditure on education as a percentage of GDP (%)","MLT","Malta","2017","2017",4.82438,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","1992","1992",1.62555,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","1993","1993",1.53674,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","1994","1994",1.44397,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","1995","1995",2.20686,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","1996","1996",2.02559,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","1998","1998",1.7831,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","1999","1999",1.83414,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2000","2000",1.97051,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2001","2001",1.92792,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2002","2002",2.04373,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2003","2003",2.65284,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2004","2004",2.19958,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2005","2005",2.15292,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2006","2006",2.13817,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2007","2007",2.13,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2008","2008",2.06192,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2009","2009",2.01494,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2010","2010",1.91878,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2011","2011",1.8061,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2012","2012",1.70095,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2013","2013",1.44844,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2014","2014",1.97476,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2015","2015",1.7215,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2016","2016",1.87163,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2017","2017",1.74249,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","1971","1971",0.56889,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","1972","1972",0.68558,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","1982","1982",0.95541,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","1983","1983",1.28226,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","1984","1984",0.8233,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","1986","1986",0.78023,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","1987","1987",0.8025,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","1988","1988",0.70241,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","1989","1989",0.86015,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","1990","1990",1.19991,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","1991","1991",0.95135,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","1992","1992",0.42953,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2004","2004",0.31229,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2005","2005",0.36503,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2006","2006",0.2878,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2007","2007",0.32643,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2008","2008",0.23113,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2009","2009",0.26821,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2010","2010",0.27071,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2011","2011",0.41761,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2012","2012",0.20957,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2013","2013",0.28254,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","DJI","Djibouti","2008","2008",1.56627,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","DJI","Djibouti","2010","2010",1.67407,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","DJI","Djibouti","2015","2015",0.04545,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","DJI","Djibouti","2016","2016",0.03253,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","1987","1987",1.36432,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","1988","1988",1.33914,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","1989","1989",1.27738,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","1990","1990",1.35912,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","1991","1991",1.37572,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","1993","1993",0.91759,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","1994","1994",0.96495,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","1996","1996",0.95164,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","1999","1999",0.8955,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2000","2000",0.79192,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2001","2001",0.74868,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2002","2002",0.74212,"‡","UIS Estimation"
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2003","2003",0.68647,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2004","2004",0.67534,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2005","2005",0.76226,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2006","2006",0.65172,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2007","2007",0.65138,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2008","2008",0.63305,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2009","2009",0.65785,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2010","2010",0.67959,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2011","2011",0.69814,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2012","2012",0.75904,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2013","2013",0.74621,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2014","2014",0.73679,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2015","2015",0.74735,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2017","2017",0.87793,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2018","2018",0.93934,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2019","2019",1.134,,
