Country Name,Indicator Id,Indicator,Subindicator Type,2007,2007-2008,2008,2008-2009,2009,2009-2010,2010,2010-2011,2011,2011-2012,2012,2012-2013,2013,2013-2014,2014,2014-2015,2015,2015-2016,2016,2016-2017,2017,2017-2018,2018,2019
"Iran, Islamic Rep.",517,Intensity of local competition,1-7 Best,,,,,,,,4.202378,,4.243733155,,4.255403185,,4.337431996,,4.3952443,,4.342602963,,4.237926208,,4.275152206,,
"Iran, Islamic Rep.",518,Intensity of local competition,Rank,,,,,,,,112,,106,,106,,121,,119,,121,,126,,125,,
Iceland,517,Intensity of local competition,1-7 Best,,5.320009482,,5.112200799,,5.0606194,,4.930327174,,4.74143248,,4.638045216,,4.837746893,,4.895047054,,4.826334756,,4.837551753,,4.976753712,,
Iceland,518,Intensity of local competition,Rank,,40,,57,,57,,66,,76,,84,,83,,80,,84,,87,,75,,
Israel,517,Intensity of local competition,1-7 Best,,5.641142116,,5.477926251,,5.454958445,,5.571289752,,5.439311259,,4.913591648,,4.689293776,,4.24244764,,4.431547585,,5.189106555,,5.319135666,,
Israel,518,Intensity of local competition,Rank,,21,,32,,29,,22,,27,,66,,95,,126,,116,,65,,50,,
Italy,517,Intensity of local competition,1-7 Best,,4.6233683,,4.441248598,,4.375595652,,4.659459946,,5.036875399,,4.898238991,,4.951240202,,5.190131979,,5.258796721,,5.30903619,,5.229665756,,
Italy,518,Intensity of local competition,Rank,,78,,104,,103,,84,,58,,67,,73,,58,,53,,46,,60,,
Jamaica,517,Intensity of local competition,1-7 Best,,5.140107701,,5.158135577,,5.180156771,,4.841625421,,4.766593572,,4.921856795,,5.195115082,,5.409381453,,5.397329044,,5.485880438,,5.327918053,,
Jamaica,518,Intensity of local competition,Rank,,46,,51,,48,,72,,72,,65,,55,,39,,39,,28,,47,,
Jordan,517,Intensity of local competition,1-7 Best,,5.406914264,,5.597467056,,5.447033658,,5.161666662,,5.363869395,,5.394925752,,5.27226,,5.19539847,,5.213284349,,5.396071234,,5.501918316,,
Jordan,518,Intensity of local competition,Rank,,33,,24,,30,,46,,34,,31,,44,,57,,57,,38,,26,,
Japan,517,Intensity of local competition,1-7 Best,,6.025244573,,5.911779182,,5.813373243,,5.846842523,,5.919436391,,6.047613931,,6.242129262,,6.371000847,,6.331479451,,6.226449882,,6.205012321,,
Japan,518,Intensity of local competition,Rank,,3,,9,,8,,7,,4,,2,,1,,1,,1,,1,,1,,
Kazakhstan,517,Intensity of local competition,1-7 Best,,4.666194344,,4.533286023,,4.413027602,,4.22310882,,4.055426,,4.125539213,,4.346997748,,4.5560483,,4.723645415,,4.631676664,,4.542402267,,
Kazakhstan,518,Intensity of local competition,Rank,,74,,97,,101,,109,,117,,113,,120,,111,,94,,106,,114,,
Kenya,517,Intensity of local competition,1-7 Best,,5.069988449,,4.915518539,,4.95550222,,5.06536823,,4.921740473,,4.931906604,,5.386776223,,5.658472882,,5.557518706,,5.634374923,,5.472446918,,
Kenya,518,Intensity of local competition,Rank,,55,,71,,61,,55,,66,,63,,35,,21,,23,,19,,32,,
Kyrgyz Republic,517,Intensity of local competition,1-7 Best,,3.574993925,,3.918420943,,4.007086941,,3.8456141,,3.916320857,,4.01333185,,4.281003165,,4.606978547,,4.440333032,,4.150890984,,4.325219154,,
Kyrgyz Republic,518,Intensity of local competition,Rank,,127,,123,,121,,129,,127,,123,,124,,107,,115,,130,,124,,
Cambodia,517,Intensity of local competition,1-7 Best,,4.177704682,,4.019736268,,4.199677848,,4.262650347,,4.577651036,,4.808128954,,4.896924765,,4.857724615,,4.69057564,,4.727426001,,4.791131973,,
Cambodia,518,Intensity of local competition,Rank,,108,,118,,112,,106,,88,,72,,78,,86,,97,,98,,93,,
"Korea, Rep.",517,Intensity of local competition,1-7 Best,,5.580036855,,5.191025026,,5.304447582,,5.664702169,,5.646262733,,5.745555667,,5.886039499,,5.891157082,,5.823840427,,5.915419459,,6.035807133,,
"Korea, Rep.",518,Intensity of local competition,Rank,,23,,49,,39,,14,,15,,11,,8,,13,,13,,8,,4,,
Kuwait,517,Intensity of local competition,1-7 Best,,4.98714996,,5.119075847,,5.2554919,,5.003967785,,4.695401831,,4.695381095,,4.507219092,,4.508667783,,5.049145303,,5.213600882,,4.824411392,,
Kuwait,518,Intensity of local competition,Rank,,60,,54,,45,,60,,80,,81,,110,,114,,69,,59,,89,,
Lao PDR,517,Intensity of local competition,1-7 Best,,,,,,,,,,,,,,5.18403,,5.070051626,,4.336344184,,4.107013535,,4.181957245,,
Lao PDR,518,Intensity of local competition,Rank,,,,,,,,,,,,,,56,,69,,122,,133,,129,,
Lebanon,517,Intensity of local competition,1-7 Best,,,,,,,,5.576302,,5.433175171,,5.37464754,,5.536933956,,5.515930784,,5.444678318,,5.435440564,,5.661121845,,
Lebanon,518,Intensity of local competition,Rank,,,,,,,,21,,28,,35,,25,,30,,34,,33,,17,,
Liberia,517,Intensity of local competition,1-7 Best,,,,,,,,,,,,4.562788,,4.567265762,,,,4.137499809,,4.127880505,,4.227863789,,
Liberia,518,Intensity of local competition,Rank,,,,,,,,,,,,87,,103,,,,132,,132,,128,,
Libya,517,Intensity of local competition,1-7 Best,,3.904761905,,3.980945987,,3.959930522,,3.826858303,,,,4.085731,,3.729368333,,3.692378044,,,,,,,,
Libya,518,Intensity of local competition,Rank,,116,,121,,122,,130,,,,115,,139,,141,,,,,,,,
Sri Lanka,517,Intensity of local competition,1-7 Best,,5.08610675,,5.441285431,,5.354454243,,5.210900913,,5.362739193,,5.495887,,5.613281271,,5.764588252,,5.665345779,,5.180153179,,4.836177349,,
Sri Lanka,518,Intensity of local competition,Rank,,54,,33,,36,,42,,35,,26,,20,,16,,17,,66,,87,,
Lesotho,517,Intensity of local competition,1-7 Best,,3.819819463,,4.018237227,,4.324965043,,4.215842564,,4.203986865,,4.064001656,,4.724998322,,4.771343184,,4.371869539,,4.841750235,,5.472505093,,
Lesotho,518,Intensity of local competition,Rank,,119,,120,,104,,110,,108,,118,,94,,93,,119,,86,,31,,
Lithuania,517,Intensity of local competition,1-7 Best,,5.364983456,,5.40724838,,4.863056996,,4.729974944,,4.950334144,,5.100299923,,5.382254415,,5.623970796,,5.644472503,,5.514992599,,5.496658325,,
Lithuania,518,Intensity of local competition,Rank,,37,,37,,73,,78,,64,,48,,36,,22,,18,,27,,27,,
Luxembourg,517,Intensity of local competition,1-7 Best,,5.105563374,,5.060186863,,4.933232488,,5.186856607,,5.245019737,,4.992081844,,5.124830409,,5.246374956,,5.147788241,,5.315710697,,5.315770626,,
Luxembourg,518,Intensity of local competition,Rank,,48,,64,,64,,44,,41,,58,,59,,54,,61,,42,,51,,
Latvia,517,Intensity of local competition,1-7 Best,,4.976427974,,5.075373381,,4.748253927,,4.592060874,,4.692291213,,4.860087873,,5.39507841,,5.610257789,,5.404753756,,5.420759948,,5.49009943,,
Latvia,518,Intensity of local competition,Rank,,62,,63,,79,,92,,81,,69,,34,,23,,38,,35,,28,,
Morocco,517,Intensity of local competition,1-7 Best,,4.575458855,,4.607635665,,4.604317241,,4.851970797,,5.098116,,4.994924664,,5.120400921,,5.342183659,,5.025746613,,5.124788888,,5.203747272,,
Morocco,518,Intensity of local competition,Rank,,84,,89,,89,,69,,53,,57,,60,,48,,73,,70,,64,,
Moldova,517,Intensity of local competition,1-7 Best,,,,,,,,4.323505,,4.354967694,,4.228441027,,4.354979082,,4.681091363,,4.622619863,,4.547674474,,4.76488018,,
Moldova,518,Intensity of local competition,Rank,,,,,,,,101,,104,,108,,119,,99,,103,,114,,95,,
Madagascar,517,Intensity of local competition,1-7 Best,,4.141570532,,4.477180378,,4.44764529,,4.302932609,,4.154046284,,4.356790262,,4.848889826,,4.795399233,,4.563035064,,4.602873456,,4.819902897,,
Madagascar,518,Intensity of local competition,Rank,,110,,100,,100,,103,,112,,100,,82,,90,,109,,110,,90,,
Mexico,517,Intensity of local competition,1-7 Best,,4.904775221,,4.842019649,,4.555104854,,4.475572054,,4.616093167,,4.763685187,,5.046792773,,5.134369418,,5.161344192,,5.217999719,,5.207332134,,
Mexico,518,Intensity of local competition,Rank,,66,,78,,94,,98,,84,,75,,65,,64,,59,,57,,63,,
Macedonia,517,Intensity of local competition,1-7 Best,,4.338629427,,4.378106032,,4.39295564,,4.503555965,,4.174181908,,4.053828098,,4.795628407,,5.392641189,,5.471674856,,5.378882668,,,,
Macedonia,518,Intensity of local competition,Rank,,100,,107,,102,,96,,110,,119,,85,,43,,31,,41,,,,
